Month,Sales,Fruit
Jan,87,strawberry
Feb,3,strawberry
Mar,89,strawberry
Apr,56,strawberry
May,1,strawberry
Jun,17,strawberry
Jul,59,strawberry
Aug,43,strawberry
Sep,16,strawberry
Oct,94,strawberry
Nov,99,strawberry
Dec,53,strawberry
Jan,93,grape
Feb,8,grape
Mar,95,grape
Apr,62,grape
May,5,grape
Jun,24,grape
Jul,62,grape
Aug,49,grape
Sep,18,grape
Oct,101,grape
Nov,103,grape
Dec,53,grape
Jan,94,blueberry
Feb,15,blueberry
Mar,95,blueberry
Apr,64,blueberry
May,11,blueberry
Jun,33,blueberry
Jul,64,blueberry
Aug,53,blueberry
Sep,27,blueberry
Oct,103,blueberry
Nov,108,blueberry
Dec,62,blueberry
