Month,Sales,Fruit,Year
Jan,87,strawberry,2016
Feb,3,strawberry,2016
Mar,89,strawberry,2016
Apr,56,strawberry,2016
May,1,strawberry,2016
Jun,17,strawberry,2016
Jul,59,strawberry,2016
Aug,43,strawberry,2016
Sep,16,strawberry,2016
Oct,94,strawberry,2016
Nov,99,strawberry,2016
Dec,53,strawberry,2016
Jan,93,grape,2016
Feb,8,grape,2016
Mar,95,grape,2016
Apr,62,grape,2016
May,5,grape,2016
Jun,24,grape,2016
Jul,62,grape,2016
Aug,49,grape,2016
Sep,18,grape,2016
Oct,101,grape,2016
Nov,103,grape,2016
Dec,53,grape,2016
Jan,94,blueberry,2016
Feb,15,blueberry,2016
Mar,95,blueberry,2016
Apr,64,blueberry,2016
May,11,blueberry,2016
Jun,33,blueberry,2016
Jul,64,blueberry,2016
Aug,53,blueberry,2016
Sep,27,blueberry,2016
Oct,103,blueberry,2016
Nov,108,blueberry,2016
Dec,62,blueberry,2016
Jan,80,strawberry,2015
Feb,0,strawberry,2015
Mar,71,strawberry,2015
Apr,51,strawberry,2015
May,3,strawberry,2015
Jun,11,strawberry,2015
Jul,56,strawberry,2015
Aug,34,strawberry,2015
Sep,12,strawberry,2015
Oct,75,strawberry,2015
Nov,94,strawberry,2015
Dec,46,strawberry,2015
Jan,76,grape,2015
Feb,0,grape,2015
Mar,78,grape,2015
Apr,58,grape,2015
May,10,grape,2015
Jun,22,grape,2015
Jul,47,grape,2015
Aug,36,grape,2015
Sep,18,grape,2015
Oct,86,grape,2015
Nov,98,grape,2015
Dec,40,grape,2015
Jan,79,blueberry,2015
Feb,0,blueberry,2015
Mar,78,blueberry,2015
Apr,49,blueberry,2015
May,5,blueberry,2015
Jun,31,blueberry,2015
Jul,62,blueberry,2015
Aug,49,blueberry,2015
Sep,7,blueberry,2015
Oct,86,blueberry,2015
Nov,100,blueberry,2015
Dec,46,blueberry,2015
Jan,89,strawberry,2014
Feb,97,strawberry,2014
Mar,46,strawberry,2014
Apr,89,strawberry,2014
May,80,strawberry,2014
Jun,29,strawberry,2014
Jul,84,strawberry,2014
Aug,18,strawberry,2014
Sep,36,strawberry,2014
Oct,3,strawberry,2014
Nov,48,strawberry,2014
Dec,63,strawberry,2014
Jan,212,grape,2014
Feb,78,grape,2014
Mar,234,grape,2014
Apr,37,grape,2014
May,98,grape,2014
Jun,3,grape,2014
Jul,148,grape,2014
Aug,207,grape,2014
Sep,102,grape,2014
Oct,221,grape,2014
Nov,15,grape,2014
Dec,188,grape,2014
Jan,59,blueberry,2014
Feb,73,blueberry,2014
Mar,141,blueberry,2014
Apr,217,blueberry,2014
May,104,blueberry,2014
Jun,109,blueberry,2014
Jul,248,blueberry,2014
Aug,28,blueberry,2014
Sep,111,blueberry,2014
Oct,87,blueberry,2014
Nov,81,blueberry,2014
Dec,14,blueberry,2014
Jan,96,strawberry,2013
Feb,46,strawberry,2013
Mar,99,strawberry,2013
Apr,92,strawberry,2013
May,70,strawberry,2013
Jun,21,strawberry,2013
Jul,93,strawberry,2013
Aug,20,strawberry,2013
Sep,72,strawberry,2013
Oct,42,strawberry,2013
Nov,37,strawberry,2013
Dec,65,strawberry,2013
Jan,227,grape,2013
Feb,120,grape,2013
Mar,185,grape,2013
Apr,144,grape,2013
May,104,grape,2013
Jun,163,grape,2013
Jul,202,grape,2013
Aug,86,grape,2013
Sep,139,grape,2013
Oct,127,grape,2013
Nov,153,grape,2013
Dec,144,grape,2013
Jan,206,blueberry,2013
Feb,73,blueberry,2013
Mar,126,blueberry,2013
Apr,20,blueberry,2013
May,60,blueberry,2013
Jun,24,blueberry,2013
Jul,248,blueberry,2013
Aug,188,blueberry,2013
Sep,27,blueberry,2013
Oct,181,blueberry,2013
Nov,18,blueberry,2013
Dec,234,blueberry,2013
