"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Alfred","male",30,438,11.8076132282735,23.6152264565471
"2","Amajagh's Assistant 2","male",1,4,1.12837916709551,2.25675833419103
"3","Anatoli Knyazev","male",8,60,4.37019372236832,8.74038744473663
"4","Anderson Cooper","male",3,127,6.35809370372452,12.716187407449
"5","Andrew Sullivan","male",1,21,2.58544147291321,5.17088294582641
"6","Announcer","male",2,14,2.11100412282238,4.22200824564475
"7","Bruce Wayne (Batman)","male",81,1089,18.618256257076,37.2365125141519
"8","Captive Woman","female",3,11,1.87120515925478,3.74241031850956
"9","Cesar","male",1,18,2.3936536824086,4.78730736481719
"10","Chairman of Joint Chiefs","male",1,7,1.49270533036046,2.98541066072092
"11","Charlie Rose","male",3,60,4.37019372236832,8.74038744473663
"12","Clark Kent (Superman)","male",46,453,12.0080963704185,24.0161927408369
"13","Cop","male",1,21,2.58544147291321,5.17088294582641
"14","Courtroom Assistant","male",1,8,1.59576912160573,3.19153824321146
"15","Daily Planet Worker","male",1,7,1.49270533036046,2.98541066072092
"16","Dana Bash","female",2,62,4.44243322329048,8.88486644658096
"17","Diana Prince (Wonder Woman)","female",16,179,7.54834217738561,15.0966843547712
"18","Dr. Silas Stone","male",1,31,3.14127465715711,6.28254931431422
"19","Emmet","male",1,45,3.78469878303024,7.56939756606048
"20","Erika Erickson","female",2,73,4.82043791490117,9.64087582980234
"21","Finch's Assistant","female",1,4,1.12837916709551,2.25675833419103
"22","Flash","male",1,43,3.69963851016596,7.39927702033192
"23","Flight Attendant","female",2,6,1.38197659788534,2.76395319577068
"24","General","male",2,21,2.58544147291321,5.17088294582641
"25","General Amajagh","male",5,66,4.58349784423754,9.16699568847508
"26","Glen Woodburn","male",1,21,2.58544147291321,5.17088294582641
"27","Governor","male",1,6,1.38197659788534,2.76395319577068
"28","Greg","male",3,33,3.24102240721429,6.48204481442857
"29","Guard","male",1,27,2.93161507141752,5.86323014283504
"30","Helpers","male",1,4,1.12837916709551,2.25675833419103
"31","Jack","male",4,39,3.52336281997296,7.04672563994593
"32","James","male",2,17,2.32621324584064,4.65242649168128
"33","Jenny","female",10,79,5.01462670679677,10.0292534135935
"34","Jonathan Kent","male",2,151,6.93287767191607,13.8657553438321
"35","Kahina","female",2,52,4.06842894512822,8.13685789025644
"36","Knyazev's Man 1","male",1,3,0.97720502380584,1.95441004761168
"37","Knyazev's Man 2","male",1,2,0.797884560802865,1.59576912160573
"38","Kryptonian Ship","female",11,121,6.20608541902532,12.4121708380506
"39","Leblanc","female",1,11,1.87120515925478,3.74241031850956
"40","Lex Luthor","male",54,1480,21.704806646271,43.409613292542
"41","Lois Lane","female",48,397,11.241397814105,22.48279562821
"42","Major Farris","female",1,1,0.564189583547756,1.12837916709551
"43","Man 3","male",2,8,1.59576912160573,3.19153824321146
"44","Man 4","male",1,5,1.26156626101008,2.52313252202016
"45","Man in Car","male",1,4,1.12837916709551,2.25675833419103
"46","Man in Car 2","male",1,1,0.564189583547756,1.12837916709551
"47","Man on TV","male",1,11,1.87120515925478,3.74241031850956
"48","Martha Kent","female",3,79,5.01462670679677,10.0292534135935
"49","Mercy Graves","female",4,14,2.11100412282238,4.22200824564475
"50","Military 2","male",2,6,1.38197659788534,2.76395319577068
"51","Military 3","male",1,3,0.97720502380584,1.95441004761168
"52","Military Man","male",1,6,1.38197659788534,2.76395319577068
"53","Military Man 2","male",1,5,1.26156626101008,2.52313252202016
"54","Military Personnel","female",4,20,2.52313252202016,5.04626504404032
"55","Mr. Wayne","male",2,2,0.797884560802865,1.59576912160573
"56","Nancy Grace","female",1,37,3.43183125878885,6.8636625175777
"57","Neil deGrasse Tyson","male",1,86,5.23207895695449,10.464157913909
"58","Newscaster","male",1,80,5.04626504404032,10.0925300880806
"59","Officer","male",2,14,2.11100412282238,4.22200824564475
"60","Officer 2","male",2,22,2.64628371420061,5.29256742840123
"61","Officer 3","male",1,6,1.38197659788534,2.76395319577068
"62","Officer 4","male",1,6,1.38197659788534,2.76395319577068
"63","Officer Rucka","male",3,22,2.64628371420061,5.29256742840123
"64","Operator","male",1,15,2.18509686118416,4.37019372236832
"65","Perry White","male",21,259,9.07977205229304,18.1595441045861
"66","Photographer","male",2,8,1.59576912160573,3.19153824321146
"67","Pilot","male",1,4,1.12837916709551,2.25675833419103
"68","Player","male",1,3,0.97720502380584,1.95441004761168
"69","President","male",5,22,2.64628371420061,5.29256742840123
"70","Reporter 2","male",3,57,4.25953794588991,8.51907589177983
"71","Reporter 3","male",1,15,2.18509686118416,4.37019372236832
"72","Reporter 4","female",2,17,2.32621324584064,4.65242649168128
"73","Reporter 5","female",2,46,3.82651992866291,7.65303985732581
"74","Secretary Swanwick","male",18,175,7.46352665180231,14.9270533036046
"75","Senator","male",5,31,3.14127465715711,6.28254931431422
"76","Senator Finch","female",15,302,9.80456962989732,19.6091392597946
"77","Signals Officer","male",1,3,0.97720502380584,1.95441004761168
"78","Soledad O'Brien","female",2,72,4.78730736481719,9.57461472963438
"79","Vikram Gandhi","male",2,108,5.86323014283504,11.7264602856701
"80","Wallace","male",10,108,5.86323014283504,11.7264602856701
"81","Woman","male",1,5,1.26156626101008,2.52313252202016
"82","Woman 2","male",1,5,1.26156626101008,2.52313252202016
