"","Character","speaking_turns","Total_Words","Sex","radius","diameter"
"1","Agent",1,16,"male",2.25675833419103,4.51351666838205
"2","Aunt May",8,51,"female",4.0291195310357,8.0582390620714
"3","Bad Guy #1",2,15,"male",2.18509686118416,4.37019372236832
"4","Bad Guy #2",1,3,"male",0.97720502380584,1.95441004761168
"5","Bodyguard",1,6,"female",1.38197659788534,2.76395319577068
"6","Bucky",47,340,"male",10.4031418957202,20.8062837914404
"7","Clint",26,274,"male",9.33899934759387,18.6779986951877
"8","Cop",2,12,"male",1.95441004761168,3.90882009522336
"9","Delivery",1,1,"male",0.564189583547756,1.12837916709551
"10","Delivery Man",2,6,"male",1.38197659788534,2.76395319577068
"11","Everett Ross",6,127,"male",6.35809370372452,12.716187407449
"12","Friday",17,153,"female",6.97863973752192,13.9572794750438
"13","Front Desk Woman",1,9,"female",1.69256875064327,3.38513750128654
"14","Guard",1,13,"male",2.03421447256411,4.06842894512822
"15","Guy on PA system",1,10,"male",1.78412411615277,3.56824823230554
"16","Howard",6,66,"male",4.58349784423754,9.16699568847508
"17","LAGOS",1,2,"male",0.797884560802865,1.59576912160573
"18","Mailman",1,4,"male",1.12837916709551,2.25675833419103
"19","Man",3,6,"male",1.38197659788534,2.76395319577068
"20","Maria",5,83,"female",5.14001172695692,10.2800234539138
"21","MESSAGE INBOX",1,2,"male",0.797884560802865,1.59576912160573
"22","Miriam",4,114,"female",6.02389633252035,12.0477926650407
"23","Natasha",64,551,"female",13.2434416707768,26.4868833415537
"24","Other Winter Soldier",1,2,"male",0.797884560802865,1.59576912160573
"25","Peter",66,671,"male",14.6145794886245,29.229158977249
"26","Preacher",1,17,"male",2.32621324584064,4.65242649168128
"27","Receptionist",2,11,"female",1.87120515925478,3.74241031850956
"28","Reporter",7,159,"male",7.1141599576635,14.228319915327
"29","Rhodey",22,274,"male",9.33899934759387,18.6779986951877
"30","Room Service Lady",5,49,"female",3.94932708483429,7.89865416966859
"31","Rumlow",8,125,"male",6.3078313050504,12.6156626101008
"32","Sam",63,489,"male",12.4761185608295,24.9522371216589
"33","Scott",23,244,"male",8.81292302410755,17.6258460482151
"34","Secretary Ross",17,353,"male",10.6001598960996,21.2003197921992
"35","Sharon",22,359,"female",10.6898666567914,21.3797333135828
"36","Steve",154,1404,"male",21.1401769198378,42.2803538396756
"37","T'Chaka",8,174,"male",7.44217173921562,14.8843434784312
"38","T'Challa",28,294,"male",9.67383618519739,19.3476723703948
"39","Teacher Man",3,62,"male",4.44243322329048,8.88486644658096
"40","Text Message",1,5,"male",1.26156626101008,2.52313252202016
"41","Tony",162,2267,"male",26.8627718595579,53.7255437191157
"42","Vasily Karpov",10,56,"male",4.22200824564475,8.4440164912895
"43","Vision",27,347,"male",10.5096874599474,21.0193749198948
"44","Wanda",31,200,"female",7.97884560802865,15.9576912160573
"45","Woman",1,23,"female",2.705758189903,5.41151637980601
"46","Zemo",31,587,"male",13.6692319897603,27.3384639795205
"47","Zemo's Wife",2,47,"female",3.86788891394752,7.73577782789505
