"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Akela","male",14,133,6.50655168752575,13.0131033750515
"2","Bagheera","male",77,909,17.0101054241608,34.0202108483217
"3","Baloo","male",88,1737,23.5139165666046,47.0278331332093
"4","Female Antelope","female",1,2,0.797884560802865,1.59576912160573
"5","Female Wolf","female",2,11,1.87120515925478,3.74241031850956
"6","Fred","male",5,17,2.32621324584064,4.65242649168128
"7","Gray","female",16,92,5.41151637980601,10.823032759612
"8","Ikki","male",6,93,5.44084730672462,10.8816946134492
"9","Kaa","female",8,210,8.17588381146626,16.3517676229325
"10","King Louie","male",20,512,12.7661529728458,25.5323059456917
"11","Male Antelope","male",1,5,1.26156626101008,2.52313252202016
"12","Male Hoofstock","male",1,6,1.38197659788534,2.76395319577068
"13","Male Impala","male",1,5,1.26156626101008,2.52313252202016
"14","Male Large Hoofstock","male",1,2,0.797884560802865,1.59576912160573
"15","Male Mice","male",4,15,2.18509686118416,4.37019372236832
"16","Male Pangolin","male",11,55,4.184141935942,8.368283871884
"17","Male Rhino","male",2,8,1.59576912160573,3.19153824321146
"18","Male Squirrel","male",9,49,3.94932708483429,7.89865416966859
"19","Male Wolf","male",5,35,3.33779058906227,6.67558117812455
"20","Male Wolf 1","male",2,6,1.38197659788534,2.76395319577068
"21","Male Wolf 2","male",2,4,1.12837916709551,2.25675833419103
"22","Male Wolf 3","male",1,2,0.797884560802865,1.59576912160573
"23","Mowgli","male",134,1207,19.6010212137999,39.2020424275999
"24","Peacock","male",4,19,2.45924537968297,4.91849075936593
"25","Raksha","female",30,266,9.20165364078046,18.4033072815609
"26","Rama","male",1,10,1.78412411615277,3.56824823230554
"27","Shere Khan","male",23,552,13.255453865238,26.510907730476
"28","Young Rhino","female",2,10,1.78412411615277,3.56824823230554
