"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Admiral Olsen","male",2,17,2.32621324584064,4.65242649168128
"2","Ames","male",1,8,1.59576912160573,3.19153824321146
"3","Angelo","male",6,47,3.86788891394752,7.73577782789505
"4","Batman","male",6,54,4.14592979365603,8.29185958731205
"5","Bodyguard","male",1,5,1.26156626101008,2.52313252202016
"6","Bodyguard 2","female",1,2,0.797884560802865,1.59576912160573
"7","Bride","female",1,8,1.59576912160573,3.19153824321146
"8","Businessman","male",1,11,1.87120515925478,3.74241031850956
"9","Captain Boomerang","male",30,326,10.1867081481662,20.3734162963324
"10","Casino Boss","male",1,23,2.705758189903,5.41151637980601
"11","Dexter Tolliver","male",15,241,8.75857765680556,17.5171553136111
"12","Diablo","male",31,374,10.9109072690009,21.8218145380019
"13","Diablo's Wife","female",4,29,3.03825388987325,6.0765077797465
"14","Dispatcher","female",1,6,1.38197659788534,2.76395319577068
"15","Enchantress","female",23,265,9.18434101276213,18.3686820255243
"16","Female Assistant","female",3,23,2.705758189903,5.41151637980601
"17","Flag","male",118,1218,19.6901356361976,39.3802712723951
"18","Flash","male",1,5,1.26156626101008,2.52313252202016
"19","Floyd","male",127,1432,21.3499357613832,42.6998715227664
"20","General","male",7,60,4.37019372236832,8.74038744473663
"21","General 2","male",1,9,1.69256875064327,3.38513750128654
"22","Griggs","male",36,500,12.6156626101008,25.2313252202016
"23","Guard 2","male",2,18,2.3936536824086,4.78730736481719
"24","Guard 3","male",1,7,1.49270533036046,2.98541066072092
"25","Guard 4","male",1,5,1.26156626101008,2.52313252202016
"26","Guard at Gate","male",1,12,1.95441004761168,3.90882009522336
"27","Harley","female",87,602,13.8427797599558,27.6855595199116
"28","Incubus","male",6,23,2.705758189903,5.41151637980601
"29","Joker","male",32,258,9.06222658265716,18.1244531653143
"30","Jonny Frost","male",6,76,4.91849075936593,9.83698151873187
"31","June","female",12,83,5.14001172695692,10.2800234539138
"32","Katana","female",6,38,3.47789816915102,6.95579633830205
"33","Killer Croc","male",9,42,3.65636639571573,7.31273279143145
"34","Mafia Guy","male",1,5,1.26156626101008,2.52313252202016
"35","Male Dispatch","male",1,8,1.59576912160573,3.19153824321146
"36","Man in Flashback","male",2,7,1.49270533036046,2.98541066072092
"37","Medic's Wife","female",1,13,2.03421447256411,4.06842894512822
"38","Medical Officer","male",5,15,2.18509686118416,4.37019372236832
"39","Medical Officer 2","female",2,5,1.26156626101008,2.52313252202016
"40","Medical Officer 3","male",1,2,0.797884560802865,1.59576912160573
"41","Military Extra","male",2,18,2.3936536824086,4.78730736481719
"42","Military on Radio","male",2,18,2.3936536824086,4.78730736481719
"43","Military Personnel","male",3,13,2.03421447256411,4.06842894512822
"44","Monster T","male",6,53,4.10736216661508,8.21472433323015
"45","Nurse","female",2,12,1.95441004761168,3.90882009522336
"46","Physician","male",2,7,1.49270533036046,2.98541066072092
"47","Pilot","male",1,16,2.25675833419103,4.51351666838205
"48","Police Officer","male",1,19,2.45924537968297,4.91849075936593
"49","Police Officer 2","male",1,11,1.87120515925478,3.74241031850956
"50","SEAL","male",1,5,1.26156626101008,2.52313252202016
"51","Seal 1","male",5,24,2.76395319577068,5.52790639154137
"52","Seal 2","male",1,7,1.49270533036046,2.98541066072092
"53","Seal 3","male",1,2,0.797884560802865,1.59576912160573
"54","Seal 4","male",1,2,0.797884560802865,1.59576912160573
"55","Seals","male",1,3,0.97720502380584,1.95441004761168
"56","Slipknot","male",4,12,1.95441004761168,3.90882009522336
"57","Soldier on Radio","male",4,15,2.18509686118416,4.37019372236832
"58","Unknown Assistant","male",1,2,0.797884560802865,1.59576912160573
"59","Unknown Man","male",1,13,2.03421447256411,4.06842894512822
"60","Unknown Men","male",1,9,1.69256875064327,3.38513750128654
"61","Unknown soldier","male",3,3,0.97720502380584,1.95441004761168
"62","Unknown Soldier","male",3,44,3.74241031850956,7.48482063701911
"63","Van Driver","male",2,30,3.09019361618552,6.18038723237103
"64","Waller","female",79,1210,19.6253652776805,39.250730555361
"65","Zoe","female",12,131,6.45744493511765,12.9148898702353
