"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Agent Smith","male",14,144,6.77027500257308,13.5405500051462
"2","Ajax","male",48,945,17.3436686558433,34.6873373116866
"3","Al","female",20,153,6.97863973752192,13.9572794750438
"4","Angel","female",7,29,3.03825388987325,6.0765077797465
"5","Announcer","male",2,24,2.76395319577068,5.52790639154137
"6","Another Guy","male",1,6,1.38197659788534,2.76395319577068
"7","Apartment Owner","male",8,94,5.47002095985713,10.9400419197143
"8","Bob","male",2,3,0.97720502380584,1.95441004761168
"9","Boothe","male",3,9,1.69256875064327,3.38513750128654
"10","Boss","male",1,13,2.03421447256411,4.06842894512822
"11","Buck","male",6,22,2.64628371420061,5.29256742840123
"12","Colossus","male",33,296,9.70668461991024,19.4133692398205
"13","Cunningham","male",7,40,3.56824823230554,7.13649646461108
"14","Deadpool","male",298,4692,38.6459569162719,77.2919138325439
"15","Doctor","male",2,40,3.56824823230554,7.13649646461108
"16","Dopinder","male",24,188,7.73577782789505,15.4715556557901
"17","Garbage Man","male",1,2,0.797884560802865,1.59576912160573
"18","Gunmen Leader","male",1,2,0.797884560802865,1.59576912160573
"19","Jeremy","male",9,56,4.22200824564475,8.4440164912895
"20","Meghan","female",2,8,1.59576912160573,3.19153824321146
"21","Negasonic","female",16,72,4.78730736481719,9.57461472963438
"22","Reporter","female",1,42,3.65636639571573,7.31273279143145
"23","Skee Ball Guy","male",1,18,2.3936536824086,4.78730736481719
"24","Some Guy","male",1,5,1.26156626101008,2.52313252202016
"25","Some Guys","male",1,6,1.38197659788534,2.76395319577068
"26","Unknown Girl","female",1,8,1.59576912160573,3.19153824321146
"27","Unknown Guy","male",3,11,1.87120515925478,3.74241031850956
"28","Unknown Guy 2","male",1,4,1.12837916709551,2.25675833419103
"29","Unknown Man","male",6,24,2.76395319577068,5.52790639154137
"30","Unknown Woman","female",3,11,1.87120515925478,3.74241031850956
"31","Unknown Woman 2","female",1,4,1.12837916709551,2.25675833419103
"32","Unknown Woman 3","female",1,2,0.797884560802865,1.59576912160573
"33","Vanessa","female",67,442,11.8614067333194,23.7228134666389
"34","Weasel","male",62,731,15.254000354017,30.508000708034
