"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Action Gnus 5 Beaver","male",1,10,1.78412411615277,3.56824823230554
"2","Announcer","male",1,3,0.97720502380584,1.95441004761168
"3","Beaver reporter 2","male",3,18,2.3936536824086,4.78730736481719
"4","Benjamin Clawhauser","male",25,312,9.96557497033376,19.9311499406675
"5","Bonnie Hopps","female",35,255,9.00938516086789,18.0187703217358
"6","Bucky Oryx-Antlerson","male",4,25,2.82094791773878,5.64189583547756
"7","Chief Bogo","male",48,547,13.195283541574,26.390567083148
"8","Cotton","female",1,7,1.49270533036046,2.98541066072092
"9","Dawn Bellwether","female",38,532,13.0131033750515,26.026206750103
"10","Dharma Armadillo","female",1,20,2.52313252202016,5.04626504404032
"11","Doug","male",6,90,5.35237234845831,10.7047446969166
"12","Dr. Madge Honey Badger","female",5,51,4.0291195310357,8.0582390620714
"13","Duke Weaselton","male",11,158,7.09175309899033,14.1835061979807
"14","Elephant Lady","female",1,5,1.26156626101008,2.52313252202016
"15","Fabienne Growley","female",3,83,5.14001172695692,10.2800234539138
"16","Female Leopard","female",1,4,1.12837916709551,2.25675833419103
"17","Female offscreen reporter 1","female",1,6,1.38197659788534,2.76395319577068
"18","Female offscreen reporter 2","female",1,5,1.26156626101008,2.52313252202016
"19","Female offscreen reporter 3","female",1,8,1.59576912160573,3.19153824321146
"20","Finnick","male",3,37,3.43183125878885,6.8636625175777
"21","Flash Slothmore","male",28,61,4.40646151205377,8.81292302410755
"22","Frantic Pig","male",3,33,3.24102240721429,6.48204481442857
"23","Fru Fru","female",7,53,4.10736216661508,8.21472433323015
"24","Gareth","male",2,6,1.38197659788534,2.76395319577068
"25","Gary","male",1,4,1.12837916709551,2.25675833419103
"26","Gazelle","female",10,129,6.40796186924587,12.8159237384917
"27","Gideon Grey","male",13,223,8.42514715711158,16.8502943142232
"28","Hippo Girl","female",1,8,1.59576912160573,3.19153824321146
"29","Hopps sibling","unknown",1,2,0.797884560802865,1.59576912160573
"30","Jaguar","male",1,21,2.58544147291321,5.17088294582641
"31","Jerry Jumbeaux Jr.","male",6,87,5.26241010355424,10.5248202071085
"32","Jesse","male",2,17,2.32621324584064,4.65242649168128
"33","Judy Hopps","female",303,3114,31.4835986757601,62.9671973515202
"34","Junior Ranger Scout 2","male",1,4,1.12837916709551,2.25675833419103
"35","Larry","male",1,8,1.59576912160573,3.19153824321146
"36","Leodore Lionheart","male",17,230,8.5563586777479,17.1127173554958
"37","Major Friedkin","female",7,79,5.01462670679677,10.0292534135935
"38","Male offscreen reporter 1","male",1,6,1.38197659788534,2.76395319577068
"39","Male offscreen reporter 3","male",1,7,1.49270533036046,2.98541066072092
"40","Moose","male",1,5,1.26156626101008,2.52313252202016
"41","Mother rabbit","female",1,3,0.97720502380584,1.95441004761168
"42","Mouse","female",1,6,1.38197659788534,2.76395319577068
"43","Mouse Foreman","male",1,4,1.12837916709551,2.25675833419103
"44","Mr. Big","male",14,257,9.04464707709672,18.0892941541934
"45","Mrs. Otterton","female",8,84,5.17088294582641,10.3417658916528
"46","Muzzled Wolf","male",1,7,1.49270533036046,2.98541066072092
"47","Nangi","female",5,11,1.87120515925478,3.74241031850956
"48","Nick Wilde","male",155,2303,27.0752223976327,54.1504447952653
"49","Officer Francine","female",1,3,0.97720502380584,1.95441004761168
"50","Officer Higgins","male",1,1,0.564189583547756,1.12837916709551
"51","Officer McHorn","male",2,16,2.25675833419103,4.51351666838205
"52","Offscreen character","male",1,8,1.59576912160573,3.19153824321146
"53","Offscreen officer","male",1,1,0.564189583547756,1.12837916709551
"54","Oryx reporter","female",1,9,1.69256875064327,3.38513750128654
"55","Peter Moosebridge","male",2,32,3.19153824321146,6.38307648642292
"56","Pig reporter","male",1,5,1.26156626101008,2.52313252202016
"57","Priscilla Tripletoe","female",1,2,0.797884560802865,1.59576912160573
"58","Pronk Oryx-Antlerson","male",5,26,2.8768136958758,5.75362739175159
"59","Rabbit reporter","female",1,7,1.49270533036046,2.98541066072092
"60","Rabbit Reporter","unknown",1,6,1.38197659788534,2.76395319577068
"61","Renato Manchas","male",4,39,3.52336281997296,7.04672563994593
"62","Sharla","female",5,40,3.56824823230554,7.13649646461108
"63","Stu Hopps","male",43,427,11.6584013226719,23.3168026453439
"64","Travis","male",2,16,2.25675833419103,4.51351666838205
"65","Woodchuck Boy","male",5,38,3.47789816915102,6.95579633830205
"66","Woolter","male",3,14,2.11100412282238,4.22200824564475
"67","Yax","male",14,223,8.42514715711158,16.8502943142232
