"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Abernathy","male",7,56,4.22200824564475,8.4440164912895
"2","Auror 1","male",1,2,0.797884560802865,1.59576912160573
"3","Auror 2","male",1,1,0.564189583547756,1.12837916709551
"4","Awards Announcer","male",1,42,3.65636639571573,7.31273279143145
"5","Bank Employee","male",1,5,1.26156626101008,2.52313252202016
"6","Barker","male",2,16,2.25675833419103,4.51351666838205
"7","Bartender","male",3,12,1.95441004761168,3.90882009522336
"8","Bernadette","female",2,12,1.95441004761168,3.90882009522336
"9","Bingley","male",8,57,4.25953794588991,8.51907589177983
"10","Bingley's Assistant","female",1,8,1.59576912160573,3.19153824321146
"11","Boy","male",1,6,1.38197659788534,2.76395319577068
"12","Chastity Barebone","female",2,17,2.32621324584064,4.65242649168128
"13","Credence Barebone","male",16,121,6.20608541902532,12.4121708380506
"14","Customs Agent","male",6,23,2.705758189903,5.41151637980601
"15","Executioner 1","female",1,9,1.69256875064327,3.38513750128654
"16","Gnarlak","male",8,110,5.9172702727032,11.8345405454064
"17","Grindelwald","male",2,13,2.03421447256411,4.06842894512822
"18","Henry Shaw Jr.","male",5,74,4.85334230995512,9.70668461991024
"19","Henry Shaw Sr.","male",9,87,5.26241010355424,10.5248202071085
"20","Jacob Kowalski","male",91,736,15.3060797146516,30.6121594293032
"21","Langdon Shaw","male",11,139,6.65169709018284,13.3033941803657
"22","Man","male",1,2,0.797884560802865,1.59576912160573
"23","Man 2","male",1,2,0.797884560802865,1.59576912160573
"24","Man from Apartment","male",1,15,2.18509686118416,4.37019372236832
"25","Mary Lou Barebone","female",16,213,8.23407588968838,16.4681517793768
"26","Minister","male",4,40,3.56824823230554,7.13649646461108
"27","Modesty Barebone","female",6,115,6.0502592432999,12.1005184865998
"28","Momolou Wotorson","male",1,5,1.26156626101008,2.52313252202016
"29","Mrs. Esposito","female",2,6,1.38197659788534,2.76395319577068
"30","Mrs. Goldstein","female",2,10,1.78412411615277,3.56824823230554
"31","Newt Scamander","male",175,2037,25.4636454215884,50.9272908431769
"32","Percival Graves","male",42,673,14.6363435803377,29.2726871606753
"33","Police Officer","male",2,17,2.32621324584064,4.65242649168128
"34","Police Officer 2","male",1,2,0.797884560802865,1.59576912160573
"35","Police Officer 3","male",1,5,1.26156626101008,2.52313252202016
"36","Queenie Goldstein","female",43,403,11.3260268466955,22.652053693391
"37","Red","male",2,6,1.38197659788534,2.76395319577068
"38","Reporter","male",3,12,1.95441004761168,3.90882009522336
"39","Reporter 2","male",3,22,2.64628371420061,5.29256742840123
"40","Sam","male",3,7,1.49270533036046,2.98541066072092
"41","Seraphina Picquery","female",22,313,9.98153266665628,19.9630653333126
"42","Shopping Woman","female",1,9,1.69256875064327,3.38513750128654
"43","Tina Goldstein","female",106,930,17.2054698904426,34.4109397808851
"44","Witness","male",2,48,3.90882009522336,7.81764019044672
"45","Woman","female",1,3,0.97720502380584,1.95441004761168
"46","Woman 2","female",1,1,0.564189583547756,1.12837916709551
"47","Woman from Apartment","female",1,19,2.45924537968297,4.91849075936593
