"","Character","Sex","speaking_turns","Total_Words","radius","diameter"
"1","Admiral Raddus","male",13,128,6.38307648642292,12.7661529728458
"2","Announcer","male",3,46,3.82651992866291,7.65303985732581
"3","Antenna Computer","female",3,19,2.45924537968297,4.91849075936593
"4","Bail Organa","male",5,83,5.14001172695692,10.2800234539138
"5","Baze Malbus","male",32,168,7.31273279143145,14.6254655828629
"6","Blue Squadron 1","male",2,5,1.26156626101008,2.52313252202016
"7","Blue Squadron 2","male",1,3,0.97720502380584,1.95441004761168
"8","Blue Squadron 3","male",1,4,1.12837916709551,2.25675833419103
"9","Blue Squadron 4","male",1,6,1.38197659788534,2.76395319577068
"10","Bodhi Rook","male",60,820,16.1559310060024,32.3118620120047
"11","C3PO","male",1,13,2.03421447256411,4.06842894512822
"12","Captain Antilles","male",1,1,0.564189583547756,1.12837916709551
"13","Cassian","male",140,1355,20.7680017281162,41.5360034562323
"14","Chirrut Imwe","male",36,420,11.5624457705622,23.1248915411244
"15","Corvette 5","male",1,12,1.95441004761168,3.90882009522336
"16","Dr. Cornelius Evazan","male",1,5,1.26156626101008,2.52313252202016
"17","Edrio","male",4,25,2.82094791773878,5.64189583547756
"18","Engineers","male",2,5,1.26156626101008,2.52313252202016
"19","Flight Control","male",3,42,3.65636639571573,7.31273279143145
"20","Galen","male",21,520,12.8655019651614,25.7310039303227
"21","Gate Control","male",5,40,3.56824823230554,7.13649646461108
"22","General Dodonna","male",1,4,1.12837916709551,2.25675833419103
"23","General Draven","male",11,206,8.09764388904951,16.195287778099
"24","General Merrick","male",5,53,4.10736216661508,8.21472433323015
"25","General Ramda","male",7,43,3.69963851016596,7.39927702033192
"26","Girl's Mother","female",1,2,0.797884560802865,1.59576912160573
"27","Gold Leader","male",3,33,3.24102240721429,6.48204481442857
"28","Governor Tarkin","male",16,284,9.50789186287878,19.0157837257576
"29","Imperial Assistant","male",1,17,2.32621324584064,4.65242649168128
"30","Imperial Assistant 2","male",6,27,2.93161507141752,5.86323014283504
"31","Imperial Assistant 3","male",2,18,2.3936536824086,4.78730736481719
"32","Imperial Controller","male",1,4,1.12837916709551,2.25675833419103
"33","Imperial Mission Control","male",2,16,2.25675833419103,4.51351666838205
"34","Imperial Mission Control 2","male",2,21,2.58544147291321,5.17088294582641
"35","Imperial Officer","male",4,13,2.03421447256411,4.06842894512822
"36","Imperial Officer 2","male",1,4,1.12837916709551,2.25675833419103
"37","Imperial Officer 3","male",1,5,1.26156626101008,2.52313252202016
"38","Imperial Pilot","male",2,6,1.38197659788534,2.76395319577068
"39","Imperial Pilot 2","male",1,5,1.26156626101008,2.52313252202016
"40","Imperial Soldiers","male",1,1,0.564189583547756,1.12837916709551
"41","Inspector","male",2,5,1.26156626101008,2.52313252202016
"42","Jyn","female",114,1045,18.2382518642018,36.4765037284036
"43","K2SO","male",70,612,13.9572794750438,27.9145589500877
"44","Krennic","male",52,504,12.6660247369343,25.3320494738685
"45","Leia","female",1,1,0.564189583547756,1.12837916709551
"46","Lieutenant Sefla","male",7,46,3.82651992866291,7.65303985732581
"47","Lyra","female",8,34,3.28976232123977,6.57952464247954
"48","Mon Mothma","female",13,169,7.33446458612083,14.6689291722417
"49","Pad 12","male",2,20,2.52313252202016,5.04626504404032
"50","Prisoner","male",1,4,1.12837916709551,2.25675833419103
"51","Rebel Announcer","male",1,42,3.65636639571573,7.31273279143145
"52","Rebel Army","male",7,27,2.93161507141752,5.86323014283504
"53","Rebel Fighter","male",1,9,1.69256875064327,3.38513750128654
